question,A,B,C,D,E,answer,parse,model_output,correctness
金钱白花蛇包含哪些化学成分,槲皮素-3-鼠李糖苷,芥子油,吴茱萸酰胺,正三十四烷酸,蛋白质,E,该中药化学成分为蛋白质，脂肪，氨基酸,A,0
钟乳石适用于哪些证候,寒痰证,脾寒证,暑湿感冒证,风阳夹痰证,肝热证,A,该中药中医证候为寒痰证，阳虚证,A,1
小通草的性味归经是哪些,甘，温。归肾、肺、大肠经。,辛，温。归胃、大肠、肺经。,甘、淡，寒。归肺、胃经。,苦，寒；有毒。归肺、肾、大肠经。,甘，微寒。归肺、胃经。,C,该中药性味归经为甘、淡，寒。归肺、胃经。,A,0
满山红与哪些靶点基因有关,ADAM12,KCNG4,KIRREL1,OPRK1,F2R,D,该中药靶点基因为SRD5A2，ACHE，ADORA1，ADORA3，CD38，AKR1C3，ALPL，ALK，AMY1B，APP，AR，APLNR，CYP19A1，CYP19A1，AHR，AURKB，ADRB2，BACE1，BACE1，NR1H4等。,C,0
竹节参的类别是哪些,理气药,攻毒杀虫止痒药,解表药,止血药,驱虫药,D,该中药一级类别为止血药,A,0
砂烫狗脊包含哪些化学成分,枸橼酸三甲酯,双青藤碱,肝素,十八碳二烯酸,樱黄素,D,该中药化学成分为十六酸，十八碳二烯酸，金粉蕨素，金粉蕨素-2’-О-葡萄糖苷，金粉蕨素-2'-O-阿洛糖苷，欧蕨伊鲁苷,A,0
灯盏细辛含有哪些化学成分,谷甾醇,木栓烷,尖防已碱,"菘蓝苷B,2,4-(1H,3H)喹唑二酮",金粉蕨素-2'-O-葡萄糖苷,B,该中药化学成分为野黄芩苷，灯盏细辛苷(飞蓬苷)，芹菜素，高山黄芩素，车前黄酮苷，木栓酮，木栓烷，木栓醇,D,0
马鞭草的相关靶标,ALKBH8,GUCY2F,KISS1,PTPRC,TP53COR1,D,该中药靶点基因为PLCG1，SRD5A2，PRKAB1，ACHE，ADA，ADK，ADORA1，ADORA2A，ADORA2B，ADORA2A，ADORA3，AHCY，CD38，ALDH2，ALK，AMY1B，APP，AR，CYP19A1，CYP19A1等。,A,0
麻黄根治疗哪些证候,气虚证,肝气郁结证,血虚证,气滞型证,虚寒证,A,该中药中医证候为虚热证，气虚证,E,0
天竺黄有哪些药理作用,改善记忆,减慢心率,抗结核,抗生育,提高人体免疫能力,B,该中药药理为抗凝，抗炎，镇痛，减慢心率，抗凝血,A,0
墨旱莲与哪些靶点基因有关,ISG20,TTLL8,RAC1,MIF,ABCB6,D,该中药靶点基因为EBP，SRD5A2，HTR2B，HTR2C，ACHE，LYPLA1，LYPLA2，ADORA3，CD38，ALDH2，AOX1，AMY1B，APP，AR，TEK，CYP19A1，CYP19A1，AHR，AURKA，AURKB等。,D,1
石斛有哪些功效,泻火除蒸,滋阴清热,祛瘀排脓,温肺祛痰,解毒杀虫,B,该中药功效为益胃生津，滋阴清热,B,1
茜草包含哪些化学成分,蛇肌果糖,黄嘌呤,对二甲氨基苯甲醚,甘松愈创木酮A~K,茜草双酯,E,该中药化学成分为大叶茜草素，茜草萘酸，茜草双酯，羟基茜草素，茜草素，茜黄素，萜类，多糖，环肽化合物,A,0
当药具有哪些药理作用,消炎止痛,平喘,润肺止咳,强心局麻,缓衰老,B,该中药药理为平喘，抗过敏，抗肿瘤，抗炎，抗病原微生物，抑制中枢,E,0
仙茅具有哪些药理作用,促进消化液分泌,抗心肌缺血,抗惊厥,促进肠运动,解毒散结,C,该中药药理为抗惊厥,B,0
淡豆豉的性味归经是哪些,酸、辛，寒；有毒。归肝、胆经。,甘、苦，微温。归肺经。,辛，温；有毒。归肝、肾、大肠经。,苦、辛，凉。归肺、胃经。,辛，温。归肺、胃经。,D,该中药性味归经为苦、辛，凉。归肺、胃经。,A,0
干姜有哪些药理作用,镇静,抗病原体,利水消肿,促进胃液分泌,抑制胃蛋白酶活性,A,该中药药理为抗炎，升高血压，镇痛，镇静,D,0
鱼腥草治疗哪些证候,热毒证,瘀血阻络证,脾胃虚弱证,风寒感冒证,痰热证,E,该中药中医证候为痰热证，热毒证,A,0
山香圆叶配连翘具有哪些功效,滋阴降火,辛温解表,芳香化浊,涩肠固脱,活血化瘀,A,该中药配伍为连翘具有清热解毒、散结消肿的功效。与山香圆叶配伍，可以用于治疗疮疡肿毒、痈疽等症状，共同发挥清热解毒、散结消肿的作用。、连翘具有清热解毒、散结消肿的功效。与山香圆叶配伍，可以用于治疗疮疡肿毒、痈疽等症状，共同发挥清热解毒、散结消肿的作用。,C,0
天竺黄有哪些功效,解痉,补脾养胃,清热豁痰,驱虫,清热止痛,C,该中药功效为清热豁痰，凉心定惊,C,1
玄明粉与哪些靶点基因有关,SUV39H1,TRIM41,AHCYL2,RAD51C,MAP2,E,该中药靶点基因为MAP2。,A,0
郁金适用于哪些西医疾病,逆行性痤疮,"46,XX男性性别逆转综合征",胰腺炎,震颤,先天性角膜混浊,B,"该中药西医疾病为神经元病变、低钾血症性周期性麻痹、46,XX男性性别逆转综合征、色素沉着、霍纳综合征、视网膜动脉、乳腺癌-卵巢癌、动脉瘤、肝腺瘤、上前牙突出导致的错颌畸形",C,0
红大戟含有哪些化学成分,大戟酸,含水四硼酸钠,三萜,由棕榈酸,梓醇,C,该中药化学成分为三萜，蒽醌，木脂素，豆甾酮，香豆素，蒽醌,A,0
炉甘石具有哪些药理作用,安胎,抑菌,对平滑肌抑制或兴奋,抗纤维化,抗心律失常,B,该中药药理为抑菌,B,1
女贞子具有哪些药理作用,泻下,抑制细胞免疫,软化血管,升高血压,抗血小板聚集,E,该中药药理为抗血小板聚集，保肝，抗血栓，降血糖，降血脂，溶血，抗血栓形成，抗菌,B,0
拳参适用于哪些证候,肝胃气滞证,血热证,心神不宁证,瘀血病证,血瘀病证,B,该中药中医证候为肺热证，热毒证，血热证,D,0
桑螵蛸与哪些靶点基因有关,TUBAL3,MKX,CGA,NCAPD2,FAM106A,E,该中药靶点基因为FAM106A，LPIN2，PLCE1，SPIB，PLD1，HK2，AGPAT4，PLPP4，FGR，LCLAT1，DGKG，FABP3，PLA2G2F，LPCAT1，MT2A，RPS6KB1，AGPAT5，GCG，GPAT4，DGKD等。,B,0
青风藤具有哪些功效,通络,消肿定痛,通经络,泻火通便,疗癣蚀疣,C,该中药功效为祛风湿，通经络，利小便,C,1
广金钱草配海金沙有哪些功效,健脾止泻,清热解毒,搜风通络,促进食欲,补肾填精,B,该中药配伍为海金沙具有清利湿热、通淋止痛的作用，与广金钱草相配，可以使清热利尿、通淋排石的作用加强，常用于治疗泌尿系统结石等症状。、海金沙具有清利湿热、通淋止痛的作用，与广金钱草相配，可以使清热利尿、通淋排石的作用加强，常用于治疗泌尿系统结石等症状。、海金沙具有清利湿热、通淋止痛的作用，与广金钱草相配，可以使清热利尿、通淋排石的作用加强，常用于治疗泌尿系统结石等症状。、海金沙具有清利湿热、通淋止痛的作用，与广金钱草相配，可以使清热利尿、通淋排石的作用加强，常用于治疗泌尿系统结石等症状。,B,1
杜仲叶包含哪些化学成分,竹节香附素A(银莲华素A),松脂酚双葡萄糖甙,谷精草素,芦荟苷,粘液质,B,该中药化学成分为都桷子甙酸，鹅掌楸甙，松脂酚双葡萄糖甙，杜仲醇,A,0
黄芪具有哪些药理作用,抗衰老,解热发热,助眠,抗菌,消痰散结,A,该中药药理为保肝，抗疲劳，降血糖，抗辐射，降血脂，抗肿瘤，利尿，抗炎，抗衰老,A,1
垂盆草适用于哪些西医疾病,低钙高钙血症,皮肤毛细血管扩张症与癌症综合征,前胃G细胞功能亢进导致的十二指肠溃疡,青光眼,脊髓小脑共济失调,A,"该中药西医疾病为低钙高钙血症、成髓不全症、前胃G细胞功能亢进导致的十二指肠溃疡、视网膜动脉、甲状腺肿、白内障、神经元病变、腹部肥胖-代谢综合征、主动脉瘤、毛周角化性蚕豆病、角膜炎、低钾血症性周期性麻痹、四重单体、霍纳综合征、皮肤摄影、抗磷脂综合征、多发性脂肪囊肿、46,XX男性性别逆转综合征、多发性内分泌肿瘤、上前牙突出导致的错颌畸形",D,0
莲须适用于哪些中医疾病,热疮,疮疡,妊娠呕吐,风温,带下,E,该中药中医疾病为遗精，滑精，带下,C,0
桑枝的类别是哪些,清热药,理气药,祛风湿药,开窍药,祛风湿药,C,该中药一级类别为祛风湿药,"B,D",0
胆南星具有哪些药理作用,抗肿瘤,强心局麻,抗组织胺,助眠,消痰散结,A,该中药药理为抗炎，抗菌，利尿，抗肿瘤,B,0
益母草与哪些靶点基因有关,PLCG1,MGAT4A,C3AR1,ADAMTS4,PRG3,A,该中药靶点基因为PLCG1，RNASEL，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2B，HTR2C，HTR3A，HTR6，HTR7，ACHE，ADORA1，ADCY10，ADRA1A，AR，RARS1，CYP19A1，CYP19A1等。,C,0
救必应适用于哪些中医疾病,睑弦赤烂,自汗,喉风,发热,经闭,D,该中药中医疾病为湿痹，发热，腹胀,C,0
灯盏花有哪些药理作用,抗病原微生物及原虫,抗凝血,强心局麻,调节胃肠运动,保护肝脏,B,该中药药理为抗凝血，抗心肌缺血，抗脑缺血，抗氧化，扩张血管,A,0
贯叶金丝桃含有哪些化学成分,2-异丙基苯甲醛,类凝血酶,糖醛酸,挥发油,营实苷,D,该中药化学成分为黄酮，挥发油，香豆素，二蒽酮衍生物，酚羧酸，间苯三酚,A,0
灯盏细辛具有哪些药理作用,避孕,抑制病毒复制,增加尿素尿酸排泄,调节血脂,调节血脂,D,该中药药理为调节血脂，抗氧化，抗炎作，降纤维蛋白原，降胆固醇,B,0
积雪草含有哪些化学成分,羟基积雪草苷,浙贝母丙素,花生二烯酸,微量元素,玫瑰醚,A,该中药化学成分为积雪草苷，羟基积雪草苷,A,1
诃子具有哪些药理作用,抗变态反应,抗缺氧,改善血液流变性,增强心肌收缩力,抗氧化,E,该中药药理为强心，降血糖，抗肿瘤，抗氧化,A,0
断血流治疗哪些中医疾病,昏迷,痿蹙,尿血,死胎,损伤出血,C,该中药中医疾病为崩漏，鼻衄，尿血,E,0
紫苏子有哪些功效,散结消癥,化浊降脂,润肠通便,凉血利咽,助阳益精,C,该中药功效为降气化痰，止咳平喘，润肠通便,C,1
制马钱子适用于哪些中医疾病,产后血晕,尿浊,顽痹,耳鸣,云翳,C,该中药中医疾病为顽痹，瘫痪,A,0
蟋蟀与哪个靶标相关,DAO,RPL9,PTCH2,CASP2,SIN3A,A,该中药靶点基因为DAO，IL4I1。,该问题与中医药无关，因此我无法从提供的选项中选出正确答案。,0
木通有哪些功效,祛痰,利尿通淋,活血祛瘀,清热利尿,散痞,B,该中药功效为泻火行水，通利血脉,B,1
苦楝子的性味归经是哪些,苦，寒。归肝、胆、大肠经。,甘、辛，温。归肝、心、脾经。,微苦、辛，温。归肝、脾、肾经。,微苦、涩，温。归肝、胃经。,苦，寒；有小毒。归肝、小肠、膀胱经。,E,该中药性味归经为苦，寒；有小毒。归肝、小肠、膀胱经。,A,0
石决明配栀子有哪些功效,解毒散结,行气活血,滋肾柔肝,温中止泻,清肝明目,E,该中药配伍为石决明咸寒质重，平肝潜阳，清肝明目；栀子苦寒降泄，气血并走，除三焦之火。二药伍用，可增强平肝明目，清热降火之功，适用于肝火上炎之头痛眩晕，心烦不安等。、石决明咸寒质重，平肝潜阳，清肝明目；栀子苦寒降泄，气血并走，除三焦之火。二药伍用，可增强平肝明目，清热降火之功，适用于肝火上炎之头痛眩晕，心烦不安等。,A,0
苍术含有哪些化学成分,氨基酸,α-愈创木烯,桷子甙酸,古巴烯,组氨酸,B,该中药化学成分为β-橄榄烯，α-愈创木烯，δ-愈创木烯，花柏烯，丁香烯，榄香烯，芹子烯，广藿香烯，苍术酮，苍术素，芹子二烯酮，白术内酯，苍术烯内酯丙,D,0
青叶胆治疗哪些中医疾病,胆胀,牙痛,瘠眼,鹅掌风,心动悸,A,该中药中医疾病为胆胀，热淋，胁痛，黄疸,A,1
沙苑子治疗哪些证候,风寒证,肝风证,阳虚诸证,表虚证,焦湿热证,C,该中药中医证候为阳虚诸证，肾虚证,B,0
抜英治疗哪些中医疾病,水肿,顽痹,湿痹,妊娠呕吐,热淋,C,该中药中医疾病为湿痹，疗疮，带下,B,0
赭石包含哪些化学成分,脂肪酸,土贝母苷丙,甲基当药呫吨酮,原儿茶酸,碳酸钙,E,该中药化学成分为碳酸钙,E,1
棕榈含有哪些化学成分,黄花败酱皂苷A～F,小檗胺,对叶当药呫吨酮,木犀草素-7-O-葡萄糖苷,人参皂苷Rd,D,该中药化学成分为木犀草素-7-O-葡萄糖苷，木犀草素-7-O-芸香糖苷，金圣草黄素-7-O-芸香糖苷，芹黄素-7-O-芸香糖苷，特罗莫那醇-9-葡萄糖苷,A,0
瓜蒌子适用于哪些证候,脾胃虚寒证,寒湿证,瘀血病症,血瘀证,热痰证,E,该中药中医证候为热痰证，燥痰证,E,1
救必应治疗哪些证候,膀胱虚冷证,风湿证,寒湿证,气郁证,湿热咳嗽证,B,该中药中医证候为风湿证，暑湿证，湿热证,A,0
蝼蛄具有哪些药理作用,抗实验性心律失常,调节免疫,肌肉松弛,控制回肠收缩,利尿,E,该中药药理为利尿,B,0
暴马子皮具有哪些药理作用,心血管系统,抗惊厥,镇咳,抗肿瘤作用,保护肝脏,C,该中药药理为镇咳，祛痰，平喘,B,0
浙贝母治疗哪些中医疾病,咳嗽,昏迷,癥积,疗疮,遗精,A,该中药中医疾病为肺痈，乳痈，瘰疬，咳嗽,A,1
郁金有哪些功效,利胆退黄,下乳,收敛止血,芳香化湿,燥湿行气,A,该中药功效为活血止痛，行气解郁，清心凉血，利胆退黄,A,1
大豆黄卷具有哪些药理作用,抗心肌缺血,抑菌,抑制细胞免疫,强心,促进胃液分泌,B,该中药药理为抑菌，抗病毒,A,0
银柴胡具有哪些药理作用,增进组织再生作用,抗动脉粥样硬化,改善学习记忆,调血脂,抗肿瘤,B,该中药药理为抗炎，抗动脉粥样硬化，解热,D,0
石菖蒲有哪些功效,醒神益智,破血消癜,退虚热,透疹消斑,养血,A,该中药功效为开窍宁神，化湿和胃，醒神益智,A,1
酸枣仁适用于哪些中医疾病,呃逆病,虚劳病,震颤,食积,吐酸,B,该中药中医疾病为虚劳病,C,0
干姜适用于哪些西医疾病,肾上腺雄激素分泌过多,畸形-外畸形伴腓骨发育不良或发育不全,穆尔-托雷综合征,假性肋膜炎,穆尔-托雷综合征,C,该中药西医疾病为穆尔-托雷综合征、脑动静脉畸形、视网膜动脉、新型冠状病毒肺炎、毛周角化性蚕豆病、霍纳综合征、自体免疫疾病、失聪、皮肤摄影、Li-Fraumeni综合征、巨型水泥瘤、卡尼综合变体、长骨金刚瘤、卢瑟福综合征、多发性脂肪囊肿、李-弗劳米尼综合征、遗传性角化性皮炎、脂肪性水肿、桥本甲状腺炎、肝腺瘤,A,0
明党参有哪些功效,安神镇惊,止咳,润肠燥,滋阴清热,平肝,E,该中药功效为润肺化痰，养阴和胃，平肝，解毒,D,0
零陵香含有哪些化学成分,内酯,菜油甾醇,鲁山冬凌草甲素,六氢金合欢烯酰丙酮,金粉蕨素-2'-O-葡萄糖苷,D,该中药化学成分为十六酸，十七酸，六氢金合欢烯酰丙酮,D,1
左旋龙脑治疗哪些证候,湿热咳嗽证,实积滞证,肝肾不足证,风痰证,痰热上扰证,D,该中药中医证候为风痰证，气郁证,D,1
青礞石含有哪些化学成分,镁,α-松油醇,氨基酸,粗蕨素,去氢鬼臼毒素,A,该中药化学成分为镁，铝，铁，硅酸,A,1
丁公藤治疗哪些中医疾病,骨痿,脘痞,湿痹,痱子,牙痛,C,该中药中医疾病为湿痹,C,1
胖大海配北沙参具有哪些功效,健脾利湿,利咽开音,醒神健脑,解毒消痈,泻火除蒸,B,该中药配伍为胖大海甘寒质轻，善清宣肺气，利咽；北沙参甘润而苦寒，既能补肺阴，又能清肺热。两药伍用，清补相兼，有滋阴润肺，利咽开音之功，适用于阴虚肺燥之干咳少痰、咯血或咽干、咽痛音哑等。、胖大海甘寒质轻，善清宣肺气，利咽；北沙参甘润而苦寒，既能补肺阴，又能清肺热。两药伍用，清补相兼，有滋阴润肺，利咽开音之功，适用于阴虚肺燥之干咳少痰、咯血或咽干、咽痛音哑等。,B,1
浙贝母具有哪些功效,石膏清热泻火,辟秽,清热化痰止咳,祛风解痉,燥湿止带,C,该中药功效为清热化痰止咳，解毒散结消痈,C,1
西瓜霜包含哪些化学成分,千花木酸,松油-4-醇,芒硝 二氧化硅,黄酮类化合物,铃兰苷,C,该中药化学成分为芒硝 二氧化硅，甜菊素，构橼酸,D,0
绿豆的类别是什么,清热解毒药,清热泻火药,活血疗伤药,利湿退黄药,破血消癥药,A,该中药二级类别为清热解毒药,A,1
紫河车有哪些药理作用,升高白细胞,降糖作用,净化血液,调血脂,抗生育,A,该中药药理为抗过敏，强心，提高耐缺氧能力，升高白细胞,C,0
山慈菇治疗哪些中医疾病,风疹,胃痛,瘰疬,经闭,中风,C,该中药中医疾病为痰核，瘰疬,C,1
玉竹适用于哪些西医疾病,伴有恶性纤维组织细胞瘤的骺髓质狭窄,Franceschetti - Jadassohn综合征,动脉瘤,眼咽肌营养不良症,抗磷脂综合征,E,该中药西医疾病为抗磷脂综合征、幽门狭窄、46Xy性腺发育不良、牛皮癣、脾肿大、骺发育不良、牙齿排列不齐，伴或不伴有乳牙发育不全/孤颌症、三毛症、黑色素瘤、巨型水泥瘤、Ige特应性反应性、霍纳综合征、视网膜动脉、单基因突变导致的无精子症或少精子症男性不育症、白内障、神经元病变,A,0
路路通的类别是哪些,止咳平喘药,峻下逐水药,辛凉解表药,祛风寒湿药,利水消肿药,D,该中药二级类别为祛风寒湿药,E,0
灯盏细辛治疗哪些西医疾病,脱皮综合症,抗磷脂综合征,角膜炎,与足内翻相关的幼年特发性关节炎,肾小球囊肿性肾病伴高尿酸血症和异位性尿失禁,B,"该中药西医疾病为抗磷脂综合征、46xy性别逆转、骨质疏松症、脂肪性水肿、糖皮质激素抵抗、动脉粥样硬化易感性、46,XX男性性别逆转综合征、成髓不全症、肾炎/骨质疏松症、视网膜动脉、失聪、局灶性节段性肾小球硬化症、白内障、肾上腺雄激素分泌过多、肝腺瘤、上前牙突出导致的错颌畸形",C,0
茺蔚子配枸杞子、生地、青葙子等具有哪些功效,升举阳气,理气和胃,利咽止痛,攻逐水饮,清肝明目,E,该中药配伍为以养肝益精，清热明目，适用于时行热病愈后，肝虚有热，视力减弱，或生翳膜，如《审视瑶函》茺蔚子丸。,E,1
太子参配山药具有哪些功效,固表止汗,祛寒止痛,清热通淋,生津止渴,宽胸利膈,A,该中药配伍为太子参长于补气生津，山药善于益气养阴。两药配伍，可增强补气生津养阴的功效，适用于脾胃被伤，乏力自汗，饮食减少，初进补剂用之尤宜。,D,0
蝉蜕具有哪些药理作用,净化血液,抗血小板聚集,改善学习记忆,解热,解痉挛,D,该中药药理为解热，抗惊厥，镇静,B,0
元胡含有哪些化学成分,巴马汀,沙苑子苷,异千金子素,20(R)原人参二醇,麻黄根碱A,A,该中药化学成分为延胡索乙素(消旋四氢巴马汀)，延胡索甲素(右旋紫堇碱)，延胡索丁素(左旋四氢黄连碱)，巴马汀，去氢紫堇碱，原阿片碱，黄连碱,C,0
巫山淫羊藿适用于哪些中医疾病,不孕,阴痒,阴寒,不寐,阳痿,E,该中药中医疾病为湿痹，骨痿，遗精，阳痿，眩晕,E,1
大血藤与哪些靶点基因有关,NPY1R,ACHE,ADCY10,IRF1,CD200R1L,B,该中药靶点基因为ACHE，ADORA1，ALDH2，AKR1C2，AKR1C3，AMY1B，APP，AR，CYP19A1，CYP19A1，ACLY，AURKB，BCL2L1，BACE1，BACE1，NR1H4，ABCG2，CNR2，CA12，CA14等。,E,0
急性子配泽兰具有哪些功效,软坚消积,温通经脉,养血补心,开窍止痛,和胃降逆,A,该中药配伍为急性子性急善行，功能破血通经；泽兰平和不峻，功能活血调经。两药配伍，共奏行血散瘀、调经止痛之效，适用于经行腹痛，或瘀滞经闭。,A,1
山楂叶配神曲、麦芽有哪些功效,健胃和中,温阳化气,温阳益气,破气消积,益气健脾,A,该中药配伍为山楂性微温，善消油腻肉积；神曲性温，既消米面食积，又和胃；麦芽性平，既消米面食积，又健胃。三药相合，既消各种食积，又健胃和中，但见食积不化或消化不良即可酌投。,D,0
玫瑰花有哪些功效,和血,利尿通淋,续折伤,杀虫疗疮,养阴和胃,A,该中药功效为行气解郁，和血，止痛,A,1
刺猬皮适用于哪些中医疾病,风水,遗尿,乳痈,瘰疬,水鼓,B,该中药中医疾病为遗尿，遗精，滑精，便血,C,0
谷芽配鸡内金有哪些功效,清热泻火,宣降肺气,安神除烦,利水消肿,健脾和胃,E,该中药配伍为鸡内金具有升胃气、健脾、消食的功效，与谷芽配合使用，可以倍增健脾消食的效果，对于食积不化、胀满、泄下、饮食不振等症状有很好的治疗效果。,E,1
地榆配茜草有哪些功效,清热祛湿,清热止咳,凉血止血,泻肝胆火,燥湿运脾,C,该中药配伍为地榆凉血止血；茜草既能凉血止血，又能化瘀止血。两药配伍，凉血止血之效增，又无凉遏留瘀之弊，适用于血热出血诸证，尤以便血、痔血、崩漏等下部出血证多用。,C,1
泽泻与哪些靶点基因有关,NPFFR2,TM4SF4,SRD5A2,UBE2N,UHRF2,C,该中药靶点基因为SRD5A2，HTR2B，HTR2C，HTR6，HTR7，ACHE，ALB，ALDH2，APP，AR，CYP19A1，CYP19A1，BCL2L1，BACE1，BACE1，NR1H4，ABCG2，CNR1，CNR2，CA12等。,B,0
紫菀的类别是什么,止咳平喘药,清化热痰药,清热解毒药,辛温解表药,温经止血药,A,该中药二级类别为止咳平喘药,A,1
艾叶治疗哪些证候,肺虚证,温热证,出血病证,寒凝气滞证,温病卫分证,C,该中药中医证候为出血病证，虚寒证,E,0
海螵蛸配桑螵蛸具有哪些功效,健胃和中,补肾助阳,收敛止血,清热降火,消食化积,B,该中药配伍为海螵蛸能收敛止血、固精止带；桑螵蛸善补肾助阳，固精缩尿。二药伍用，共奏补肾助阳、收敛止血、止带涩精、缩尿止遗之功，可用于下元不固，遗尿尿频，遗精滑精，崩漏带下诸症。、海螵蛸能收敛止血、固精止带；桑螵蛸善补肾助阳，固精缩尿。二药伍用，共奏补肾助阳、收敛止血、止带涩精、缩尿止遗之功，可用于下元不固，遗尿尿频，遗精滑精，崩漏带下诸症。,C,0
白薇具有哪些药理作用,增加免疫力,增强免疫力,解热,强心,抗溃疡,D,该中药药理为强心，增强心肌收缩，抗肿瘤，利尿，抗炎，平喘，祛痰，解热，减慢心率,B,0
生地有哪些药理作用,镇静催眠,抗炎,抗茵,抗艾滋病毒,有益心血管系统,B,该中药药理为抗氧化，抗炎，抗菌，抗肿瘤,E,0
墨旱莲治疗哪些证候,瘀血病证,阴虚津亏证,肝肾阴虚证,寒凝气滞证,气阴两虚证,B,该中药中医证候为阴虚津亏证，阴虚血热证，肝肾阴虚证，外伤证,A,0
岩白菜治疗哪些中医疾病,梅核气,腹泻,癥瘕,冻疮,鹅掌风,B,该中药中医疾病为黄水疮，痢疾，带下，白带，咯血，咳嗽，吐血，腹泻，便血,D,0
湖北贝母配杏仁有哪些功效,消食化痰,凉血除蒸,养阴清肺,散风除湿,补肾填精,C,该中药配伍为杏仁能止咳平喘、润肠通便，与湖北贝母配伍，可以增强止咳平喘的作用，适用于咳嗽、气喘等症状。、杏仁能止咳平喘、润肠通便，与湖北贝母配伍，可以增强止咳平喘的作用，适用于咳嗽、气喘等症状。,C,1
天花粉的类别是什么,温经止血药,利水消肿药,祛风湿强筋骨药,清热泻火药,清热泻火药,D,该中药二级类别为清热泻火药,B,0
木通治疗哪些中医疾病,喉痹,震颤,温疫,喉痹,咯血,A,该中药中医疾病为经闭，喉痹，水肿,A,1
伸筋草适用于哪些证候,风湿热痹证,肺虚燥证,肺燥证,脾胃虚弱型证,外感风寒证,A,该中药中医证候为风寒湿痹证，风湿热痹证,A,1
羊耳菊的性味归经是哪些,苦、辛、咸，微温。归肺、脾、胃、大肠经。,辛，温。归肺、脾、肾、膀胱经。,辛，凉。归肝、肺、胃经。,苦，寒；有小毒。归肺、脾、肾经。,甘、苦、平。归肺、心经。,C,该中药性味归经为辛，凉。归肝、肺、胃经。,A,0
黄药子治疗哪些西医疾病,多囊卵巢综合征,脱皮综合症,抗磷脂综合征,卵母细胞增多症,肝腺瘤,C,该中药西医疾病为抗磷脂综合征、骨痛、全身性癫痫伴热性惊厥加号、热性惊厥、低钙高钙血症、伊贺肾病、远端骨硬化、低钾血症性周期性麻痹、中性粒细胞增多症、眼球扁桃体发育不良症、肾炎/骨质疏松症、癫痫,A,0
两头尖有哪些功效,暖肾固精缩尿,行血消肿,疏肝泄热,消痈肿,平冲降气,D,该中药功效为祛风湿，消痈肿,B,0
卷柏适用于哪些西医疾病,髌骨发育不良,姚氏综合征,伴或不伴有乳牙发育不全/孤颌症、三毛症、成髓不全症、肾炎/骨质疏松症、霍纳综合征、遗传性角化性皮炎、角膜营养不良症、新型冠状病毒肺炎、失聪、上前牙突出导致的错颌畸形,外阴阴道炎,脊髓空洞症,C,该中药西医疾病为穆尔-托雷综合征、甲状旁腺功能亢进症、低钙高钙血症、脂肪性水肿、脑动静脉畸形、多发性脂肪囊肿、动脉粥样硬化易感性、牙齿排列不齐，伴或不伴有乳牙发育不全/孤颌症、三毛症、成髓不全症、肾炎/骨质疏松症、霍纳综合征、遗传性角化性皮炎、角膜营养不良症、新型冠状病毒肺炎、失聪、上前牙突出导致的错颌畸形,C,1
土荆皮的类别是哪些,温里药,止血药,祛风湿药,拔毒化腐生肌药,攻毒杀虫止痒药,E,该中药一级类别为攻毒杀虫止痒药,C,0
板蓝根治疗哪些西医疾病,肌病,皮炎,肾上腺皮质功能减退,多发性脂肪囊肿,淋巴畸形,B,该中药西医疾病为皮炎、伴有免疫异常的主动脉钙化症、青光眼、恶性高热、脂肪性水肿、脾肿大、角化病、双角子宫伴部分阴道隔膜和单侧血性小肠结肠炎伴同侧肾发育不全、球形红细胞增多症、霍纳综合征、遗传性角化性皮炎、失聪、角膜营养不良症、新型冠状病毒肺炎、胆囊炎红斑狼疮,B,1
臭梧桐叶含有哪些化学成分,麻黄根碱B,海州常山素B,柠檬酸,甲基麦冬黄烷酮B,山柰酚-3-O-β-刺槐双糖苷,B,该中药化学成分为刺槐素-a-二葡萄糖醛酸苷，臭梧桐糖苷，海常山苦素，海州常山素A，海州常山素B,D,0
冬虫夏草适用于哪些证候,血虚证,肾虚精亏证,气滞血瘀证,外伤证,风热表征,B,该中药中医证候为肾虚精亏证，阳虚诸证,B,1
川木通与哪些靶点基因有关,SIX6,CD81,GREM2,SMAD9,TRMT5,B,该中药靶点基因为ACHE，ADORA1，AR，CYP19A1，CYP19A1，BCL2L1，NR1H4，CA1，CA2，CA4，CTDSP1，CTSD，CD81，CISD1，BCHE，F10，CES2，HSD11B1，LIG1，POLB等。,B,1
木贼有哪些功效,舒筋活络,温脾止泻摄唾,补肾益精,明目退翳,温中止痛,D,该中药功效为疏散风热，明目退翳,A,0
自然铜适用于哪些中医疾病,痔疮,血吸虫病,血疝,蛇丹,聘耳,C,该中药中医疾病为血疝,A,0
玄参具有哪些功效,清虚热,清热凉血,温补肝肾,祛湿消肿,解毒消肿,B,该中药功效为清热凉血，滋阴降火，解毒散结,B,1
夏枯草适用于哪些证候,胃虚痰阻证,肝风证,胃火证,气分实热证,湿痰证,D,该中药中医证候为气分实热证，脏腑火热证,D,1
海龙适用于哪些中医疾病,遗精,虚劳,崩漏,头痛,咯血,A,该中药中医疾病为疗疮，痰核，瘰疬，遗精，阳痿，癥瘕，积聚,A,1
